UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFRAC01,EFRACE01,XEFRAC02,EFRACE02,XEFRAC03,EFRACE03,XEFRAC04,EFRACE04,XEFRAC05,EFRACE05,XEFRAC06,EFRACE06,XEFRAC07,EFRACE07,XEFRAC08,EFRACE08,XEFRAC09,EFRACE09,XEFRAC10,EFRACE10,XEFRAC11,EFRACE11,XEFRAC12,EFRACE12,XEFRAC13,EFRACE13,XEFRAC14,EFRACE14,XEFRAC15,EFRACE15,XEFRAC16,EFRACE16,XEFRAC17,EFRACE17,XEFRAC18,EFRACE18,XEFRAC19,EFRACE19,XEFRAC20,EFRACE20,XEFRAC21,EFRACE21,XEFRAC22,EFRACE22,XEFRAC23,EFRACE23,XEFRAC24,EFRACE24
100654, 1,29,3,4,"R",122,"R",117,"R",2444,"R",3024,"R",4,"R",7,"R",7,"R",10,"R",16,"R",12,"R",124,"R",295,"Z",0,"Z",0,"R",2717,"R",3465,"R",239,"R",5468,"R",11,"R",17,"R",28,"R",419,"Z",0,"R",6182
100654, 2,99,3,1,"R",67,"R",72,"R",2252,"R",2500,"R",4,"R",4,"R",2,"R",3,"R",12,"R",8,"R",50,"R",73,"Z",0,"Z",0,"R",2387,"R",2660,"R",139,"R",4752,"R",8,"R",5,"R",20,"R",123,"Z",0,"R",5047
100654, 3,99,3,1,"R",67,"R",67,"R",2249,"R",2493,"R",4,"R",4,"R",2,"R",3,"R",12,"R",8,"R",49,"R",71,"Z",0,"Z",0,"R",2383,"R",2646,"R",134,"R",4742,"R",8,"R",5,"R",20,"R",120,"Z",0,"R",5029
100654, 4,99,3,1,"R",5,"R",6,"R",503,"R",562,"R",1,"R",1,"R",1,"Z",0,"R",3,"R",3,"R",7,"R",7,"Z",0,"Z",0,"R",520,"R",579,"R",11,"R",1065,"R",2,"R",1,"R",6,"R",14,"Z",0,"R",1099
100654, 5,99,3,1,"R",62,"R",61,"R",1746,"R",1931,"R",3,"R",3,"R",1,"R",3,"R",9,"R",5,"R",42,"R",64,"Z",0,"Z",0,"R",1863,"R",2067,"R",123,"R",3677,"R",6,"R",4,"R",14,"R",106,"Z",0,"R",3930
100654,11,99,3,1,"Z",0,"R",5,"R",3,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",4,"R",14,"R",5,"R",10,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",18
100654,12,99,3,3,"R",55,"R",45,"R",192,"R",524,"Z",0,"R",3,"R",5,"R",7,"R",4,"R",4,"R",74,"R",222,"Z",0,"Z",0,"R",330,"R",805,"R",100,"R",716,"R",3,"R",12,"R",8,"R",296,"Z",0,"R",1135
100654,21,14,1,4,"R",78,"R",88,"R",2153,"R",2546,"R",3,"R",4,"R",4,"R",7,"R",13,"R",9,"R",60,"R",117,"Z",0,"Z",0,"R",2311,"R",2771,"R",166,"R",4699,"R",7,"R",11,"R",22,"R",177,"Z",0,"R",5082
100654,22, 8,1,1,"R",56,"R",64,"R",2088,"R",2319,"R",3,"R",3,"R",2,"R",2,"R",10,"R",8,"R",30,"R",46,"Z",0,"Z",0,"R",2189,"R",2442,"R",120,"R",4407,"R",6,"R",4,"R",18,"R",76,"Z",0,"R",4631
100654,23, 6,1,1,"R",56,"R",62,"R",2086,"R",2314,"R",3,"R",3,"R",2,"R",2,"R",10,"R",8,"R",30,"R",46,"Z",0,"Z",0,"R",2187,"R",2435,"R",118,"R",4400,"R",6,"R",4,"R",18,"R",76,"Z",0,"R",4622
100654,24, 1,1,1,"R",4,"R",5,"R",500,"R",557,"R",1,"R",1,"R",1,"Z",0,"R",3,"R",3,"R",7,"R",6,"Z",0,"Z",0,"R",516,"R",572,"R",9,"R",1057,"R",2,"R",1,"R",6,"R",13,"Z",0,"R",1088
100654,25, 3,1,1,"R",52,"R",57,"R",1586,"R",1757,"R",2,"R",2,"R",1,"R",2,"R",7,"R",5,"R",23,"R",40,"Z",0,"Z",0,"R",1671,"R",1863,"R",109,"R",3343,"R",4,"R",3,"R",12,"R",63,"Z",0,"R",3534
100654,31, 7,1,1,"Z",0,"R",2,"R",2,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",7,"R",2,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9
100654,32,11,1,3,"R",22,"R",24,"R",65,"R",227,"Z",0,"R",1,"R",2,"R",5,"R",3,"R",1,"R",30,"R",71,"Z",0,"Z",0,"R",122,"R",329,"R",46,"R",292,"R",1,"R",7,"R",4,"R",101,"Z",0,"R",451
100654,41,28,2,4,"R",44,"R",29,"R",291,"R",478,"R",1,"R",3,"R",3,"R",3,"R",3,"R",3,"R",64,"R",178,"Z",0,"Z",0,"R",406,"R",694,"R",73,"R",769,"R",4,"R",6,"R",6,"R",242,"Z",0,"R",1100
100654,42,22,2,1,"R",11,"R",8,"R",164,"R",181,"R",1,"R",1,"Z",0,"R",1,"R",2,"Z",0,"R",20,"R",27,"Z",0,"Z",0,"R",198,"R",218,"R",19,"R",345,"R",2,"R",1,"R",2,"R",47,"Z",0,"R",416
100654,43,20,2,1,"R",11,"R",5,"R",163,"R",179,"R",1,"R",1,"Z",0,"R",1,"R",2,"Z",0,"R",19,"R",25,"Z",0,"Z",0,"R",196,"R",211,"R",16,"R",342,"R",2,"R",1,"R",2,"R",44,"Z",0,"R",407
100654,44,15,2,1,"R",1,"R",1,"R",3,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",4,"R",7,"R",2,"R",8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",11
100654,45,17,2,1,"R",10,"R",4,"R",160,"R",174,"R",1,"R",1,"Z",0,"R",1,"R",2,"Z",0,"R",19,"R",24,"Z",0,"Z",0,"R",192,"R",204,"R",14,"R",334,"R",2,"R",1,"R",2,"R",43,"Z",0,"R",396
100654,51,21,2,1,"Z",0,"R",3,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",2,"R",7,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",9
100654,52,25,2,3,"R",33,"R",21,"R",127,"R",297,"Z",0,"R",2,"R",3,"R",2,"R",1,"R",3,"R",44,"R",151,"Z",0,"Z",0,"R",208,"R",476,"R",54,"R",424,"R",2,"R",5,"R",4,"R",195,"Z",0,"R",684
100663, 1,29,3,4,"R",517,"R",378,"R",1165,"R",3187,"R",35,"R",44,"R",274,"R",341,"R",73,"R",120,"R",4382,"R",5753,"R",127,"R",176,"R",6573,"R",9999,"R",895,"R",4352,"R",79,"R",615,"R",193,"R",10135,"R",303,"R",16572
100663, 2,99,3,1,"R",143,"R",129,"R",1012,"R",2618,"R",22,"R",24,"R",164,"R",225,"R",49,"R",79,"R",2993,"R",3762,"R",107,"R",143,"R",4490,"R",6980,"R",272,"R",3630,"R",46,"R",389,"R",128,"R",6755,"R",250,"R",11470
100663, 3,99,3,1,"R",140,"R",124,"R",986,"R",2567,"R",22,"R",24,"R",159,"R",215,"R",43,"R",78,"R",2842,"R",3620,"R",102,"R",138,"R",4294,"R",6766,"R",264,"R",3553,"R",46,"R",374,"R",121,"R",6462,"R",240,"R",11060
100663, 4,99,3,1,"R",15,"R",18,"R",149,"R",345,"R",5,"R",5,"R",38,"R",43,"R",6,"R",10,"R",431,"R",491,"R",14,"R",17,"R",658,"R",929,"R",33,"R",494,"R",10,"R",81,"R",16,"R",922,"R",31,"R",1587
100663, 5,99,3,1,"R",125,"R",106,"R",837,"R",2222,"R",17,"R",19,"R",121,"R",172,"R",37,"R",68,"R",2411,"R",3129,"R",88,"R",121,"R",3636,"R",5837,"R",231,"R",3059,"R",36,"R",293,"R",105,"R",5540,"R",209,"R",9473
