UNITID,EFFYLEV,LSTUDY,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEYNRALT,EFYNRALT,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XEYUNKNT,EFYUNKNT,XEYTOTLT,EFYTOTLT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEFYHIST,EFYHISPT,XEFYAIAT,EFYAIANT,XEFYASIT,EFYASIAT,XEFYBKAT,EFYBKAAT,XEFYNHPT,EFYNHPIT,XEFYWHIT,EFYWHITT,XEFY2MOT,EFY2MORT,XDVEYAIT,DVEYAIT,XDVEYAIM,DVEYAIM,XDVEYAIW,DVEYAIW,XDVEYAPT,DVEYAPT,XDVEYAPM,DVEYAPM,XDVEYAPW,DVEYAPW,XDVEYBKT,DVEYBKT,XDVEYBKM,DVEYBKM,XDVEYBKW,DVEYBKW,XDVEYHST,DVEYHST,XDVEYHSM,DVEYHSM,XDVEYHSW,DVEYHSW,XDVEYWHT,DVEYWHT,XDVEYWHM,DVEYWHM,XDVEYWHW,DVEYWHW 
100654,1,999,"R",71,"R",51,"R",2533,"R",3028,"R",8,"R",7,"R",12,"R",17,"R",13,"R",19,"R",152,"R",230,"R",11,"R",21,"R",2800,"R",3373,"R",122,"R",5561,"R",15,"R",29,"R",32,"R",382,"R",32,"R",6173,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15,"R",8,"R",7,"R",29,"R",12,"R",17,"R",5561,"R",2533,"R",3028,"R",32,"R",13,"R",19,"R",382,"R",152,"R",230
100654,2,  1,"R",28,"R",23,"R",2319,"R",2509,"R",7,"R",5,"R",6,"R",10,"R",13,"R",15,"R",93,"R",63,"R",8,"R",9,"R",2474,"R",2634,"R",51,"R",4828,"R",12,"R",16,"R",28,"R",156,"R",17,"R",5108,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",12,"R",7,"R",5,"R",16,"R",6,"R",10,"R",4828,"R",2319,"R",2509,"R",28,"R",13,"R",15,"R",156,"R",93,"R",63
100654,4,  3,"R",43,"R",28,"R",214,"R",519,"R",1,"R",2,"R",6,"R",7,"R",0,"R",4,"R",59,"R",167,"R",3,"R",12,"R",326,"R",739,"R",71,"R",733,"R",3,"R",13,"R",4,"R",226,"R",15,"R",1065,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3,"R",1,"R",2,"R",13,"R",6,"R",7,"R",733,"R",214,"R",519,"R",4,"R",0,"R",4,"R",226,"R",59,"R",167
100663,1,999,"R",460,"R",361,"R",1247,"R",3156,"R",32,"R",57,"R",365,"R",491,"R",119,"R",223,"R",5490,"R",7557,"R",385,"R",452,"R",8098,"R",12297,"R",821,"R",4403,"R",89,"R",856,"R",342,"R",13047,"R",837,"R",20395,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",89,"R",32,"R",57,"R",856,"R",365,"R",491,"R",4403,"R",1247,"R",3156,"R",342,"R",119,"R",223,"R",13047,"R",5490,"R",7557
100663,2,  1,"R",138,"R",147,"R",1031,"R",2335,"R",22,"R",32,"R",231,"R",287,"R",83,"R",141,"R",3562,"R",4064,"R",301,"R",299,"R",5368,"R",7305,"R",285,"R",3366,"R",54,"R",518,"R",224,"R",7626,"R",600,"R",12673,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",54,"R",22,"R",32,"R",518,"R",231,"R",287,"R",3366,"R",1031,"R",2335,"R",224,"R",83,"R",141,"R",7626,"R",3562,"R",4064
100663,4,  3,"R",322,"R",214,"R",216,"R",821,"R",10,"R",25,"R",134,"R",204,"R",36,"R",82,"R",1928,"R",3493,"R",84,"R",153,"R",2730,"R",4992,"R",536,"R",1037,"R",35,"R",338,"R",118,"R",5421,"R",237,"R",7722,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",35,"R",10,"R",25,"R",338,"R",134,"R",204,"R",1037,"R",216,"R",821,"R",118,"R",36,"R",82,"R",5421,"R",1928,"R",3493
100690,1,999,"Z",0,"Z",0,"R",155,"R",277,"R",2,"R",3,"R",4,"R",6,"R",23,"R",14,"R",275,"R",214,"R",57,"R",67,"R",516,"R",581,"Z",0,"R",432,"R",5,"R",10,"R",37,"R",489,"R",124,"R",1097,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",5,"R",2,"R",3,"R",10,"R",4,"R",6,"R",432,"R",155,"R",277,"R",37,"R",23,"R",14,"R",489,"R",275,"R",214
100690,2,  1,"Z",0,"Z",0,"R",80,"R",122,"R",2,"R",1,"R",2,"R",5,"R",17,"R",8,"R",168,"R",107,"R",24,"R",34,"R",293,"R",277,"Z",0,"R",202,"R",3,"R",7,"R",25,"R",275,"R",58,"R",570,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3,"R",2,"R",1,"R",7,"R",2,"R",5,"R",202,"R",80,"R",122,"R",25,"R",17,"R",8,"R",275,"R",168,"R",107
100690,4,  3,"Z",0,"Z",0,"R",75,"R",155,"Z",0,"R",2,"R",2,"R",1,"R",6,"R",6,"R",107,"R",107,"R",33,"R",33,"R",223,"R",304,"Z",0,"R",230,"R",2,"R",3,"R",12,"R",214,"R",66,"R",527,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2,"Z",0,"R",2,"R",3,"R",2,"R",1,"R",230,"R",75,"R",155,"R",12,"R",6,"R",6,"R",214,"R",107,"R",107
100706,1,999,"R",344,"R",173,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",81,"R",62,"R",4986,"R",4116,"R",517,"A",,"A",,"A",,"A",,"A",,"R",143,"R",9102,"R",95,"R",95,"R",69,"R",70,"R",147,"R",141,"R",436,"R",770,"R",1,"R",0,"R",3757,"R",2757,"R",56,"R",48,"R",190,"R",139,"R",288,"R",1206,"R",1,"R",6514,"R",104,"R",139,"R",69,"R",70,"R",289,"R",148,"R",141,"R",1206,"R",436,"R",770,"R",190,"R",95,"R",95,"R",6514,"R",3757,"R",2757
