UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
100636,"R",1496402,"A",,"A",,"G",49880,"A",,"G",49880,"A",,2
100654,"R",132932,"A",,"R",14877,"G",4431,"G",620,"G",4431,"G",620,2
100663,"R",281081,"A",,"R",110510,"G",9369,"G",4605,"G",9369,"G",4605,2
100690,"R",10172,"A",,"R",4846,"G",339,"G",202,"G",339,"G",202,2
100706,"R",154107,"A",,"R",21025,"G",5137,"G",876,"R",5137,"R",928,2
100724,"R",141185,"A",,"R",16882,"G",4706,"G",703,"G",4706,"G",703,2
100751,"R",657489,"A",,"R",74454,"G",21916,"G",3102,"G",21916,"G",3102,2
100760,"R",59187,"A",,"A",,"G",1973,"A",,"G",1973,"A",,2
100812,"R",81926,"A",,"A",,"G",2731,"A",,"G",2731,"A",,2
100830,"R",111997,"A",,"R",13464,"G",3733,"G",561,"G",3733,"G",561,2
100858,"R",578342,"A",,"R",66941,"G",19278,"G",2789,"G",19278,"G",2789,2
100937,"R",49865,"A",,"R",532,"G",1662,"G",22,"R",1385,"R",22,2
101028,"R",46251,"A",,"A",,"G",1542,"A",,"G",1542,"A",,2
101073,"R",15614,"A",,"A",,"G",520,"A",,"G",520,"A",,2
101116,"R",21646,"A",,"R",1104,"G",481,"G",31,"G",481,"G",31,2
101143,"R",66270,"A",,"A",,"G",2209,"A",,"G",2209,"A",,2
101161,"R",72820,"R",12117,"A",,"G",2441,"A",,"G",2441,"A",,3
101189,"R",89107,"A",,"R",14875,"G",2970,"G",620,"G",2970,"G",620,2
101240,"R",155051,"A",,"A",,"G",5168,"A",,"G",5168,"A",,2
101286,"R",105418,"A",,"A",,"G",3514,"A",,"G",3514,"A",,2
101295,"R",149181,"A",,"A",,"G",4973,"A",,"G",4973,"A",,2
101301,"R",50613,"A",,"A",,"G",1687,"A",,"G",1687,"A",,2
101365,"R",13269,"A",,"A",,"G",442,"A",,"G",442,"A",,2
101435,"R",29629,"A",,"A",,"G",988,"A",,"G",988,"A",,2
101453,"R",1405,"A",,"R",180,"G",47,"G",8,"G",47,"G",8,2
101462,"R",28027,"A",,"A",,"G",934,"A",,"G",934,"A",,2
101471,"R",23276,"A",,"A",,"G",776,"A",,"G",776,"A",,2
101480,"R",209870,"A",,"R",20336,"G",6996,"G",847,"G",6996,"G",847,2
101499,"R",31263,"A",,"A",,"G",1042,"A",,"G",1042,"A",,2
101505,"R",176958,"A",,"A",,"G",5899,"A",,"G",5899,"A",,2
101514,"R",207501,"A",,"A",,"G",6917,"A",,"G",6917,"A",,2
101541,"R",9325,"A",,"A",,"G",311,"A",,"R",389,"A",,2
101569,"R",87244,"A",,"A",,"G",2908,"A",,"G",2908,"A",,2
101587,"R",61862,"A",,"R",64725,"G",2062,"G",2697,"G",2062,"G",2697,2
101602,"R",43974,"A",,"A",,"G",1466,"A",,"G",1466,"A",,2
101648,"R",14204,"A",,"A",,"G",473,"A",,"G",473,"A",,2
101675,"R",55140,"A",,"A",,"G",1838,"A",,"G",1838,"A",,2
101693,"R",39785,"A",,"R",2713,"G",1326,"G",113,"G",1326,"G",113,2
101709,"R",73125,"A",,"R",8311,"G",2438,"G",346,"G",2438,"G",346,2
101736,"R",91361,"A",,"A",,"G",3045,"A",,"G",3045,"A",,2
101879,"R",148574,"A",,"R",20483,"G",4952,"G",853,"G",4952,"G",853,2
101897,"R",70215,"A",,"A",,"G",2341,"A",,"G",2341,"A",,2
101912,"R",51883,"A",,"R",1094,"G",1729,"G",46,"G",1729,"G",46,2
101949,"R",34937,"R",11788,"A",,"G",1178,"A",,"G",1178,"A",,3
101958,"R",1782,"A",,"A",,"G",40,"A",,"G",40,"A",,2
101994,"R",18105,"A",,"A",,"G",604,"A",,"G",604,"A",,2
102030,"R",71207,"A",,"A",,"G",2374,"A",,"G",2374,"A",,2
102049,"R",85471,"A",,"R",45803,"G",2849,"G",1908,"G",2849,"G",1908,2
102058,"R",3840,"A",,"R",420,"G",128,"G",18,"G",128,"G",18,2
102067,"R",139294,"A",,"A",,"G",4643,"A",,"G",4643,"A",,2
102076,"R",55032,"A",,"A",,"G",1834,"A",,"G",1834,"A",,2
102094,"R",300952,"A",,"R",57756,"G",10032,"G",2407,"R",10032,"R",2548,2
102234,"R",40799,"A",,"R",2615,"G",1360,"G",109,"G",1360,"G",109,2
102261,"R",5092,"A",,"A",,"G",170,"A",,"G",170,"A",,2
102270,"R",30270,"A",,"A",,"G",1009,"A",,"G",1009,"A",,2
102298,"R",16822,"A",,"A",,"G",561,"A",,"G",561,"A",,2
102313,"R",40037,"A",,"A",,"G",1335,"A",,"G",1335,"A",,2
102368,"R",459131,"A",,"R",113089,"G",15304,"G",4712,"G",15304,"G",4712,2
102377,"R",100980,"A",,"R",6600,"G",3366,"G",275,"G",3366,"G",275,2
102395,"R",3408,"A",,"R",8562,"G",114,"G",357,"G",114,"G",357,2
102429,"R",104287,"A",,"A",,"G",3476,"A",,"G",3476,"A",,2
102553,"R",318319,"A",,"R",16838,"G",10611,"G",702,"R",10700,"R",702,2
102614,"R",154209,"A",,"R",15378,"G",5140,"G",641,"R",5169,"R",641,2
102632,"R",43245,"A",,"R",5861,"G",1442,"G",244,"R",1467,"R",244,2
102669,"R",13944,"A",,"R",3844,"G",465,"G",160,"G",465,"G",160,2
102711,"A",,"R",339057,"A",,"G",377,"A",,"G",377,"A",,1
102845,"R",56120,"A",,"A",,"G",1247,"A",,"G",1247,"A",,2
103361,"R",7230,"A",,"A",,"G",241,"A",,"R",277,"A",,2
103501,"A",,"R",365237,"A",,"G",406,"A",,"G",406,"A",,1
103644,"R",166185,"R",291600,"A",,"G",4017,"A",,"R",5022,"A",,3
103723,"R",86202,"A",,"A",,"G",1916,"A",,"G",1916,"A",,2
103732,"A",,"R",91820,"A",,"G",102,"A",,"G",102,"A",,1
103741,"A",,"R",264190,"A",,"G",294,"A",,"G",294,"A",,1
103778,"A",,"A",,"R",35264,"A",,"G",1469,"A",,"R",2089,2
103787,"R",1971,"A",,"A",,"G",66,"A",,"G",66,"A",,2
103811,"A",,"R",588000,"A",,"G",653,"A",,"G",653,"A",,1
103893,"R",139286,"A",,"A",,"G",4643,"A",,"G",4643,"A",,2
103945,"R",6000,"A",,"A",,"G",200,"A",,"G",200,"A",,2
103954,"A",,"R",72495,"A",,"G",81,"A",,"G",81,"A",,1
103963,"R",24144,"A",,"A",,"G",805,"A",,"G",805,"A",,2
104090,"R",37555,"A",,"A",,"G",1252,"A",,"G",1252,"A",,2
104151,"R",1456632,"A",,"R",246271,"G",48554,"G",10261,"G",48554,"G",10261,2
104160,"R",141239,"A",,"A",,"G",4708,"A",,"G",4708,"A",,2
104179,"R",827088,"A",,"R",168461,"G",27570,"G",7019,"G",27570,"G",7019,2
104188,"R",11340,"A",,"A",,"G",378,"A",,"G",378,"A",,2
104294,"A",,"R",333696,"A",,"G",371,"A",,"G",371,"A",,1
104346,"R",178126,"A",,"A",,"G",5938,"A",,"R",4407,"A",,2
104364,"R",17864,"A",,"R",71,"G",397,"G",2,"G",397,"G",2,2
104391,"A",,"R",87500,"A",,"G",97,"A",,"G",97,"A",,1
104425,"R",245886,"A",,"A",,"G",8196,"A",,"R",7602,"A",,2
104434,"A",,"R",85429,"A",,"G",95,"A",,"G",95,"A",,1
104443,"A",,"R",205355,"A",,"G",228,"A",,"G",228,"A",,1
104504,"A",,"R",188250,"A",,"G",209,"A",,"G",209,"A",,1
104531,"R",48902,"A",,"R",8228,"G",1630,"G",343,"R",1358,"R",686,2
104568,"A",,"R",254170,"A",,"G",282,"A",,"G",282,"A",,1
104577,"R",112165,"A",,"A",,"G",3739,"A",,"G",3739,"A",,2
104586,"R",48047,"A",,"R",460,"G",1602,"G",19,"G",1602,"G",19,2
104665,"A",,"R",9000,"R",165,"G",10,"G",7,"G",10,"G",7,3
104708,"R",312851,"A",,"A",,"G",10428,"A",,"G",10428,"A",,2
104717,"R",329710,"A",,"R",256558,"G",10990,"G",10690,"G",10990,"G",10690,2
104805,"R",80130,"A",,"A",,"G",2671,"A",,"G",2671,"A",,2
104911,"A",,"R",156585,"A",,"G",174,"A",,"G",174,"A",,1
104984,"R",23988,"A",,"A",,"G",800,"A",,"G",800,"A",,2
105118,"R",35181,"A",,"A",,"G",1173,"A",,"G",1173,"A",,2
105127,"A",,"R",259664,"A",,"G",289,"A",,"G",289,"A",,1
105145,"R",109809,"A",,"A",,"G",3660,"A",,"G",3660,"A",,2
105154,"R",413778,"A",,"A",,"G",13793,"A",,"G",13793,"A",,2
105163,"R",19256,"A",,"A",,"G",428,"A",,"G",428,"A",,2
105172,"R",34896,"A",,"A",,"G",775,"A",,"G",775,"A",,2
105206,"R",110735,"A",,"A",,"G",3691,"A",,"G",3691,"A",,2
105215,"R",104140,"A",,"A",,"G",3471,"A",,"G",3471,"A",,2
105297,"R",31307,"A",,"A",,"G",1044,"A",,"G",1044,"A",,2
105330,"R",420746,"A",,"R",74905,"G",14025,"G",3121,"R",15479,"R",3745,2
105349,"R",87868,"A",,"A",,"G",2929,"A",,"G",2929,"A",,2
105367,"R",17090,"A",,"R",15403,"G",570,"G",642,"R",570,"R",856,2
105428,"R",177347,"A",,"A",,"G",5912,"A",,"G",5912,"A",,2
105482,"A",,"R",109650,"A",,"G",122,"A",,"R",146,"A",,1
105516,"R",100514,"A",,"R",37432,"G",3350,"G",1560,"G",3350,"G",1560,2
105525,"R",591030,"R",149667,"A",,"G",19867,"A",,"R",20889,"A",,3
105534,"A",,"R",761636,"A",,"G",846,"A",,"G",846,"A",,1
105543,"A",,"R",577348,"A",,"G",641,"A",,"G",641,"A",,1
105589,"R",33931,"A",,"R",6960,"G",1131,"G",290,"G",1131,"G",290,2
105659,"R",26046,"A",,"A",,"G",868,"A",,"G",868,"A",,2
105668,"R",358115,"A",,"A",,"G",11937,"A",,"G",11937,"A",,2
105677,"A",,"R",61600,"A",,"G",68,"A",,"G",68,"A",,1
105701,"A",,"R",83500,"A",,"G",93,"A",,"G",93,"A",,1
105747,"R",176881,"A",,"A",,"G",5896,"A",,"G",5896,"A",,2
105792,"R",67546,"A",,"A",,"G",2252,"A",,"G",2252,"A",,2
105899,"R",10780,"A",,"A",,"G",359,"A",,"R",389,"A",,2
105987,"A",,"R",319000,"A",,"G",354,"A",,"G",354,"A",,1
106041,"R",105200,"A",,"A",,"G",3507,"A",,"G",3507,"A",,2
106102,"R",36645,"A",,"R",7566,"G",1222,"G",315,"G",1222,"G",315,2
106111,"A",,"R",262407,"A",,"G",292,"A",,"G",292,"A",,1
106148,"R",115133,"A",,"A",,"G",3838,"A",,"R",3921,"A",,2
