UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
100654,"R",117182,"A",,"R",14838,"G",3906,"G",618,"G",3906,"G",618,"A",,2
100663,"R",300955,"A",,"R",115707,"G",10032,"G",4821,"G",10032,"G",4821,"R",1400,2
100690,"R",8812,"A",,"R",5407,"G",294,"G",225,"G",294,"G",225,"R",60,2
100706,"R",150003,"A",,"R",24148,"G",5000,"G",1006,"G",5000,"R",1057,"R",23,2
100724,"R",151039,"A",,"R",10132,"G",5035,"G",422,"G",5035,"G",422,"R",114,2
100751,"R",814437,"A",,"R",90802,"G",27148,"G",3783,"G",27148,"G",3783,"R",792,2
100760,"R",44668,"A",,"A",,"G",1489,"A",,"G",1489,"A",,"A",,2
100812,"R",83144,"A",,"A",,"G",2771,"A",,"G",2771,"A",,"A",,2
100830,"R",107122,"A",,"R",12496,"G",3571,"G",521,"G",3571,"G",521,"A",,2
100858,"R",589063,"A",,"R",74542,"G",19635,"G",3106,"G",19635,"G",3106,"R",1074,2
100937,"R",39929,"A",,"A",,"G",1331,"A",,"G",1331,"A",,"A",,2
101028,"R",42932,"A",,"A",,"G",1431,"A",,"G",1431,"A",,"A",,2
101073,"R",15454,"A",,"A",,"G",515,"A",,"G",515,"A",,"A",,2
101116,"R",25953,"A",,"R",1754,"G",577,"G",49,"G",577,"G",49,"A",,2
101143,"R",63031,"A",,"A",,"G",2101,"A",,"G",2101,"A",,"A",,2
101161,"R",111081,"A",,"A",,"G",3703,"A",,"G",3703,"A",,"A",,2
101189,"R",79727,"A",,"R",5503,"G",2658,"G",229,"G",2658,"G",229,"R",392,2
101240,"R",139495,"A",,"A",,"G",4650,"A",,"G",4650,"A",,"A",,2
101277,"A",,"R",83588,"A",,"G",93,"A",,"G",93,"A",,"A",,1
101286,"R",108316,"A",,"A",,"G",3611,"A",,"G",3611,"A",,"A",,2
101295,"R",134581,"A",,"A",,"G",4486,"A",,"G",4486,"A",,"A",,2
101301,"R",47232,"A",,"A",,"G",1574,"A",,"G",1574,"A",,"A",,2
101365,"R",10146,"A",,"A",,"G",338,"A",,"G",338,"A",,"A",,2
101435,"R",32328,"A",,"A",,"G",1078,"A",,"G",1078,"A",,"A",,2
101453,"R",1302,"A",,"R",240,"G",43,"G",10,"G",43,"G",10,"A",,2
101462,"R",27629,"A",,"A",,"G",921,"A",,"G",921,"A",,"A",,2
101471,"R",16927,"A",,"A",,"G",564,"A",,"G",564,"A",,"A",,2
101480,"R",205679,"A",,"R",17029,"G",6856,"G",710,"G",6856,"G",710,"A",,2
101499,"R",28062,"A",,"A",,"G",935,"A",,"G",935,"A",,"A",,2
101505,"R",181221,"A",,"A",,"G",6041,"A",,"G",6041,"A",,"A",,2
101514,"R",237340,"A",,"A",,"G",7911,"A",,"G",7911,"A",,"A",,2
101541,"R",10282,"A",,"A",,"G",343,"A",,"G",343,"A",,"A",,2
101569,"R",80836,"A",,"A",,"G",2695,"A",,"G",2695,"A",,"A",,2
101587,"R",52319,"A",,"R",39604,"G",1744,"G",1650,"G",1744,"G",1650,"A",,2
101602,"R",40151,"A",,"A",,"G",1338,"A",,"G",1338,"A",,"A",,2
101648,"R",12667,"A",,"A",,"G",422,"A",,"G",422,"A",,"A",,2
101675,"R",50440,"A",,"A",,"G",1681,"A",,"G",1681,"A",,"A",,2
101693,"R",40225,"A",,"R",2221,"G",1341,"G",93,"G",1341,"G",93,"A",,2
101709,"R",73639,"A",,"R",8896,"G",2455,"G",371,"G",2455,"G",371,"A",,2
101736,"R",81066,"A",,"A",,"G",2702,"A",,"G",2702,"A",,"A",,2
101879,"R",158773,"A",,"R",14249,"G",5292,"G",594,"G",5292,"G",594,"A",,2
101897,"R",72255,"A",,"A",,"G",2409,"A",,"G",2409,"A",,"A",,2
101912,"R",53320,"A",,"R",1131,"G",1777,"G",47,"G",1777,"G",47,"A",,2
101949,"R",33723,"A",,"A",,"G",1124,"A",,"G",1124,"A",,"A",,2
101958,"R",6007,"A",,"A",,"G",133,"A",,"G",133,"A",,"A",,2
101994,"R",19749,"R",12963,"A",,"G",673,"A",,"G",673,"A",,"A",,3
102030,"R",84654,"A",,"A",,"G",2822,"A",,"G",2822,"A",,"A",,2
102049,"R",93012,"A",,"R",17501,"G",3100,"G",729,"G",3100,"G",729,"R",1040,2
