;YEAR,Univ_Code,University,Enrollment,Type
2024,BYU,Brigham Young University,34299,Projected
2025,BYU,Brigham Young University,34323,Projected
2026,BYU,Brigham Young University,34347,Projected
2027,BYU,Brigham Young University,34471,Projected
2028,BYU,Brigham Young University,34595,Projected
2029,BYU,Brigham Young University,34719,Projected
2030,BYU,Brigham Young University,34843,Projected
2031,BYU,Brigham Young University,34867,Projected
2032,BYU,Brigham Young University,34891,Projected
2033,BYU,Brigham Young University,34916,Projected
2034,BYU,Brigham Young University,34940,Projected
2035,BYU,Brigham Young University,34964,Projected
2036,BYU,Brigham Young University,34988,Projected
2037,BYU,Brigham Young University,35012,Projected
2038,BYU,Brigham Young University,35036,Projected
2039,BYU,Brigham Young University,35060,Projected
2040,BYU,Brigham Young University,35084,Projected
2041,BYU,Brigham Young University,35108,Projected
2042,BYU,Brigham Young University,35132,Projected
2043,BYU,Brigham Young University,35156,Projected
2044,BYU,Brigham Young University,35180,Projected
2045,BYU,Brigham Young University,35204,Projected
2046,BYU,Brigham Young University,35228,Projected
2047,BYU,Brigham Young University,35252,Projected
2048,BYU,Brigham Young University,35276,Projected
2049,BYU,Brigham Young University,35300,Projected
2050,BYU,Brigham Young University,35324,Projected
2051,BYU,Brigham Young University,35348,Projected
2052,BYU,Brigham Young University,35373,Projected
2053,BYU,Brigham Young University,35397,Projected
2054,BYU,Brigham Young University,35421,Projected
2055,BYU,Brigham Young University,35445,Projected
2056,BYU,Brigham Young University,35469,Projected
2057,BYU,Brigham Young University,35493,Projected
2058,BYU,Brigham Young University,35517,Projected
2059,BYU,Brigham Young University,35541,Projected
2060,BYU,Brigham Young University,35565,Projected
2024,Ensign,Ensign College,1783,Projected
2025,Ensign,Ensign College,1894,Projected
2026,Ensign,Ensign College,2013,Projected
2027,Ensign,Ensign College,2125,Projected
2028,Ensign,Ensign College,2213,Projected
2029,Ensign,Ensign College,2284,Projected
2030,Ensign,Ensign College,2346,Projected
2031,Ensign,Ensign College,2404,Projected
2032,Ensign,Ensign College,2452,Projected
2033,Ensign,Ensign College,2491,Projected
2034,Ensign,Ensign College,2535,Projected
2035,Ensign,Ensign College,2575,Projected
2036,Ensign,Ensign College,2614,Projected
2037,Ensign,Ensign College,2660,Projected
2038,Ensign,Ensign College,2703,Projected
2039,Ensign,Ensign College,2727,Projected
2040,Ensign,Ensign College,2757,Projected
2041,Ensign,Ensign College,2781,Projected
2042,Ensign,Ensign College,2809,Projected
2043,Ensign,Ensign College,2838,Projected
2044,Ensign,Ensign College,2863,Projected
2045,Ensign,Ensign College,2885,Projected
2046,Ensign,Ensign College,2926,Projected
2047,Ensign,Ensign College,2973,Projected
2048,Ensign,Ensign College,3037,Projected
2049,Ensign,Ensign College,3117,Projected
2050,Ensign,Ensign College,3223,Projected
2051,Ensign,Ensign College,3349,Projected
2052,Ensign,Ensign College,3488,Projected
2053,Ensign,Ensign College,3634,Projected
2054,Ensign,Ensign College,3780,Projected
2055,Ensign,Ensign College,3923,Projected
2056,Ensign,Ensign College,4059,Projected
2057,Ensign,Ensign College,4185,Projected
2058,Ensign,Ensign College,4300,Projected
2059,Ensign,Ensign College,4388,Projected
2060,Ensign,Ensign College,4449,Projected
2024,SLCC,Salt Lake Community College,22329,Projected
2025,SLCC,Salt Lake Community College,22972,Projected
2026,SLCC,Salt Lake Community College,23688,Projected
2027,SLCC,Salt Lake Community College,24283,Projected
2028,SLCC,Salt Lake Community College,24596,Projected
2029,SLCC,Salt Lake Community College,24728,Projected
2030,SLCC,Salt Lake Community College,24788,Projected
2031,SLCC,Salt Lake Community College,24833,Projected
