;Z,ENSIGN,WESTMIN,WSU_MAIN,WSU_DAVIS,SLCC_SC,BYU,SLCC_MAIN,UVU_MAIN,UOFU_MAIN,SLCC_JD,SLCC_ML
5,4,3,0,0,0,0,0,0,0,0,0
8,0,0,57,0,0,0,0,0,0,0,0
24,0,0,0,5,0,0,0,0,0,0,0
25,0,0,7,0,0,0,0,0,0,0,0
26,0,2,0,0,0,0,0,0,0,0,0
29,0,0,0,22,0,0,0,0,0,0,0
30,3,0,0,0,0,0,0,0,0,0,0
35,0,3,11,0,0,0,0,0,0,0,0
40,0,0,0,3,4,0,0,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0
42,0,0,5,0,0,0,0,0,0,0,0
43,0,0,7,0,0,0,0,0,0,0,0
55,0,0,0,0,0,1,0,0,0,0,0
66,0,0,0,0,0,1,0,0,0,0,0
69,0,0,0,0,0,1,0,0,0,0,0
75,0,0,5,2,0,0,17,0,0,0,0
78,0,0,23,0,0,0,0,0,0,0,0
80,0,0,8,2,0,0,0,0,0,0,0
89,0,0,0,1,0,0,0,0,0,0,0
91,0,0,24,0,0,1,0,0,0,0,0
92,0,0,0,0,0,2,0,0,0,0,0
95,0,0,7,0,0,0,0,0,0,0,0
101,0,0,25,0,0,0,0,0,0,0,0
105,0,0,9,0,0,0,0,0,0,0,0
138,0,0,27,0,0,0,0,0,0,0,0
143,0,0,17,0,0,0,0,0,0,0,0
174,0,0,3,0,0,0,0,0,0,0,0
175,0,0,0,0,0,1,0,0,0,0,0
177,0,0,0,0,0,2,0,0,0,0,0
178,0,0,3,0,0,0,0,0,0,0,0
185,0,0,3,0,0,0,0,0,0,0,0
189,0,0,21,0,0,0,0,0,0,0,0
193,0,0,18,0,0,0,0,0,0,0,0
196,0,0,15,0,0,0,0,0,0,0,0
197,0,0,24,0,0,0,0,0,0,0,0
206,0,0,0,4,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,5,0,0,0
213,0,0,20,0,0,0,0,0,0,0,0
214,0,0,0,4,0,0,0,0,0,0,0
215,0,0,2,0,0,0,0,0,0,0,0
217,0,0,24,0,0,0,0,0,0,0,0
218,0,0,3,0,0,0,0,0,0,0,0
